metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
nee_mcgkgmin_max,vasopressor,865,0.22913294797687864,0.12035838150289019,0.10877456647398845,0.04,0.0,0.04,4,5,865,865
sofa_delta,sofa_delta,865,0.3424514484110224,1.1827908155599298,-0.8403393671489074,0.18067536216931135,0.8644067796610169,-0.6837314174917055,4,5,865,865
mortality_anytime,mortality,836,0.3875598086124402,0.3708133971291866,0.01674641148325362,0.0,0.0,0.0,0,6,836,836
vm_time_hours,ventilation,836,86.8273395721925,50.80052800734619,36.02681156484631,46.36666666666667,31.958333333333336,14.408333333333331,0,6,836,836
rrt_on,dialysis_rrt,836,0.08373205741626795,0.0645933014354067,0.019138755980861247,0.0,0.0,0.0,0,6,836,836
any_vasopressor,vasopressor,836,0.5394736842105263,0.4784688995215311,0.06100478468899523,1.0,0.0,1.0,0,6,836,836
icu_los_hours,icu_los,836,572.2647527910685,374.478668261563,197.78608452950556,352.91666666666663,250.625,102.29166666666663,0,6,836,836
ventilation_hours,ventilation,836,47.11333732057416,25.87151116427432,21.24182615629984,20.5,12.958333333333332,7.541666666666668,0,6,836,836
nee_mcgkgmin_max,vasopressor,836,0.23503588516746413,0.12305023923444977,0.11198564593301435,0.05,0.0,0.05,0,6,836,836
sofa_delta,sofa_delta,836,0.39783595632260765,1.161914669592073,-0.7640787132694653,0.2227646454265173,0.8596961490753936,-0.6369315036488763,0,6,836,836
mortality_anytime,mortality,1075,0.2846511627906977,0.3786046511627907,-0.093953488372093,0.0,0.0,0.0,1,6,1075,1075
vm_time_hours,ventilation,1075,80.64499027237355,54.76816720257234,25.876823069801205,45.625,34.0,11.625,1,6,1075,1075
rrt_on,dialysis_rrt,1075,0.0586046511627907,0.04744186046511628,0.011162790697674417,0.0,0.0,0.0,1,6,1075,1075
any_vasopressor,vasopressor,1075,0.6893023255813954,0.4586046511627907,0.23069767441860467,1.0,0.0,1.0,1,6,1075,1075
icu_los_hours,icu_los,1075,523.2546511627907,392.9131782945736,130.34147286821707,309.16666666666663,262.0833333333333,47.083333333333314,1,6,1075,1075
ventilation_hours,ventilation,1075,47.61705426356589,29.14775193798449,18.4693023255814,20.25,14.083333333333332,6.166666666666668,1,6,1075,1075
nee_mcgkgmin_max,vasopressor,1075,0.3461581395348837,0.11148837209302326,0.23466976744186047,0.08,0.0,0.08,1,6,1075,1075
sofa_delta,sofa_delta,1075,1.4815422526321786,1.015504043091826,0.4660382095403526,1.2309408094000571,0.7063267968765214,0.5246140125235357,1,6,1075,1075
mortality_anytime,mortality,214,0.32242990654205606,0.43457943925233644,-0.11214953271028039,0.0,0.0,0.0,2,6,214,214
vm_time_hours,ventilation,214,102.52359735973597,55.40964912280702,47.113948236928955,66.975,36.78333333333333,30.191666666666663,2,6,214,214
rrt_on,dialysis_rrt,214,0.0514018691588785,0.0514018691588785,0.0,0.0,0.0,0.0,2,6,214,214
any_vasopressor,vasopressor,214,0.5,0.5327102803738317,-0.032710280373831724,0.5,1.0,-0.5,2,6,214,214
icu_los_hours,icu_los,214,727.5934579439253,415.84501557632404,311.7484423676012,477.29166666666663,285.0,192.29166666666663,2,6,214,214
ventilation_hours,ventilation,214,59.844236760124616,28.563473520249225,31.28076323987539,32.83333333333333,12.25,20.58333333333333,2,6,214,214
nee_mcgkgmin_max,vasopressor,214,0.11780373831775702,0.11682242990654206,0.000981308411214965,0.015,0.03,-0.015,2,6,214,214
sofa_delta,sofa_delta,214,0.08150950728537994,1.3873662227385681,-1.3058567154531882,0.0,0.9043560606060601,-0.9043560606060601,2,6,214,214
mortality_anytime,mortality,1597,0.4176581089542893,0.3400125234815279,0.0776455854727614,0.0,0.0,0.0,3,6,1597,1597
vm_time_hours,ventilation,1597,61.88272877164056,55.61838662790697,6.264342143733586,35.31666666666667,32.0,3.31666666666667,3,6,1597,1597
rrt_on,dialysis_rrt,1597,0.056981840951784594,0.03256105197244834,0.024420788979336257,0.0,0.0,0.0,3,6,1597,1597
any_vasopressor,vasopressor,1597,0.28428303068252975,0.4264245460237946,-0.14214151534126485,0.0,0.0,0.0,3,6,1597,1597
icu_los_hours,icu_los,1597,408.7111250260905,401.9727092465038,6.73841577958666,253.33333333333331,249.58333333333331,3.75,3,6,1597,1597
ventilation_hours,ventilation,1597,33.805468586933834,30.20517637236485,3.6002922145689844,14.166666666666666,13.416666666666666,0.75,3,6,1597,1597
nee_mcgkgmin_max,vasopressor,1597,0.09070757670632437,0.16437695679398873,-0.07366938008766435,0.0,0.0,0.0,3,6,1597,1597
sofa_delta,sofa_delta,1597,1.2229154473477528,0.9846729682322852,0.2382424791154676,0.8838821490467939,0.7283464566929134,0.15553569235388043,3,6,1597,1597
mortality_anytime,mortality,59,0.4067796610169492,0.288135593220339,0.11864406779661019,0.0,0.0,0.0,4,6,59,59
vm_time_hours,ventilation,59,49.45099999999999,64.3287037037037,-14.877703703703702,27.68333333333333,35.03333333333333,-7.350000000000001,4,6,59,59
rrt_on,dialysis_rrt,59,0.06779661016949153,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0,4,6,59,59
any_vasopressor,vasopressor,59,0.3050847457627119,0.423728813559322,-0.11864406779661013,0.0,0.0,0.0,4,6,59,59
icu_los_hours,icu_los,59,373.7711864406779,464.6680790960451,-90.8968926553672,223.75,305.41666666666663,-81.66666666666663,4,6,59,59
ventilation_hours,ventilation,59,26.492937853107335,32.09887005649717,-5.605932203389834,14.583333333333332,18.75,-4.166666666666668,4,6,59,59
nee_mcgkgmin_max,vasopressor,59,0.08305084745762713,0.06559322033898306,0.01745762711864407,0.0,0.0,0.0,4,6,59,59
sofa_delta,sofa_delta,59,1.9108689015695555,0.9685108192587057,0.9423580823108497,1.6047058823529412,0.9517489456710493,0.6529569366818919,4,6,59,59
mortality_anytime,mortality,54,0.6666666666666666,0.48148148148148145,0.18518518518518517,1.0,0.0,1.0,5,6,54,54
vm_time_hours,ventilation,54,157.91069182389936,67.02256944444444,90.88812237945491,108.86666666666666,38.125,70.74166666666666,5,6,54,54
rrt_on,dialysis_rrt,54,0.2962962962962963,0.16666666666666666,0.12962962962962962,0.0,0.0,0.0,5,6,54,54
any_vasopressor,vasopressor,54,0.7592592592592593,0.6481481481481481,0.11111111111111116,1.0,1.0,0.0,5,6,54,54
icu_los_hours,icu_los,54,1010.3395061728397,514.8533950617283,495.4861111111114,729.5833333333333,268.125,461.45833333333326,5,6,54,54
ventilation_hours,ventilation,54,97.26234567901236,39.526234567901234,57.73611111111112,49.041666666666664,14.125,34.916666666666664,5,6,54,54
nee_mcgkgmin_max,vasopressor,54,0.3133333333333333,0.19722222222222227,0.11611111111111103,0.275,0.1,0.17500000000000002,5,6,54,54
sofa_delta,sofa_delta,54,0.07849970660554544,1.2612792128173287,-1.1827795062117832,-0.15982402346353797,0.7346938775510203,-0.8945179010145583,5,6,54,54
