metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,9999,0.38433843384338434,0.4458445844584458,-0.06150615061506148,0.0,0.0,0.0,0,2,9999,3155
vm_time_hours,ventilation,9999,113.58987195054641,59.10190807389416,54.48796387665225,57.16666666666666,40.0,17.166666666666657,0,2,9999,3155
rrt_on,dialysis_rrt,9999,0.1034103410341034,0.06460646064606461,0.038803880388038794,0.0,0.0,0.0,0,2,9999,3155
any_vasopressor,vasopressor,9999,0.5866586658665867,0.5814581458145814,0.00520052005200522,1.0,1.0,0.0,0,2,9999,3155
icu_los_hours,icu_los,9999,733.0230523052305,421.3427176050938,311.6803347001367,390.8333333333333,301.66666666666663,89.16666666666669,0,2,9999,3155
ventilation_hours,ventilation,9999,64.2922125545888,32.86546154615461,31.426751008434188,24.083333333333332,18.083333333333332,6.0,0,2,9999,3155
nee_mcgkgmin_max,vasopressor,9999,0.26542054205420545,0.20035603560356036,0.0650645064506451,0.06,0.05,0.009999999999999995,0,2,9999,3155
sofa_delta,sofa_delta,9999,1.129741913652472,1.0612678961495974,0.06847401750287463,0.8303319609686517,0.7537547115958958,0.0765772493727559,0,2,9999,3155
mortality_anytime,mortality,10,0.6,0.3,0.3,1.0,0.0,1.0,1,2,10,10
vm_time_hours,ventilation,10,71.14444444444445,87.02666666666667,-15.882222222222225,57.35,66.84166666666667,-9.491666666666667,1,2,10,10
rrt_on,dialysis_rrt,10,0.2,0.0,0.2,0.0,0.0,0.0,1,2,10,10
any_vasopressor,vasopressor,10,0.3,0.6,-0.3,0.0,1.0,-1.0,1,2,10,10
icu_los_hours,icu_los,10,539.0416666666666,523.6249999999999,15.416666666666742,480.83333333333326,376.04166666666663,104.79166666666663,1,2,10,10
ventilation_hours,ventilation,10,52.80833333333332,51.85,0.9583333333333215,34.166666666666664,40.166666666666664,-6.0,1,2,10,10
nee_mcgkgmin_max,vasopressor,10,0.11000000000000001,0.14699999999999996,-0.03699999999999995,0.0,0.05,-0.05,1,2,10,10
sofa_delta,sofa_delta,10,0.26390944517072834,1.2023933528359938,-0.9384839076652655,0.48969853347473213,1.3194254434916601,-0.829726910016928,1,2,10,10
